Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Sub-subsector (JP),Core
000100.KS,KRX,KSC,KSE,Primary,,,INE156M01017,BBG000BDQQP5,BBG000BDQQP5,BBG001S6JYV4,,Yuhan Corporation,South Korea,South Korea,KOR,KRW,https://www.yuhan.co.kr,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,,
000661.SZ,SZSE,SHZ,Shenzhen,Primary,,,,,,,,"Changchun High-Tech Industry (Group) Co., Ltd.",China,China,CHN,CNY,https://ccht.jl.cn,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,,
000963.SZ,SZSE,SHZ,Shenzhen,Primary,,,,,,,,"Huadong Medicine Co., Ltd",China,China,CHN,CNY,https://www.eastchinapharm.com,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,,
002007.SZ,SZSE,SHZ,Shenzhen,Primary,,2004,,,,,,Hualan Biological Engineering Inc.,China,China,CHN,CNY,https://www.hualanbio.com,Healthcare,Biotechnology,Biopharma,Biotech,,
008930.KS,KRX,KSC,KSE,Primary,,2005,KR7008930000,BBG000BDVBT8,BBG000BDVBT8,BBG001S6K527,,"Hanmi Science Co., Ltd.",South Korea,South Korea,KOR,KRW,https://www.hanmiscience.co.kr,Healthcare,Medical Distribution,Biopharma,,,
019170.KS,KRX,KSC,KSE,Primary,,,,BBG000BG62G3,BBG000BG62G3,BBG001S71TG9,,"Shinpoong Pharmaceutical Co.,Ltd",South Korea,South Korea,KOR,KRW,https://shinpoong.co.kr,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,,
068270.KS,KRX,KSC,KSE,Primary,,2005,,BBG000F7P1Y0,BBG000F7P1Y0,BBG001SNFZR3,,"Celltrion, Inc.",South Korea,South Korea,KOR,KRW,https://www.celltrion.com,Healthcare,Biotechnology,Biopharma,Biotech,,
1093.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2003,,BBG000C3N3B5,BBG000C3N1Z3,BBG001S7QWD8,,CSPC Pharmaceutical Group Limited,China,Hong Kong,CHN,HKD,https://www.cspc.com.hk,Healthcare,Drug Manufacturers - General,Biopharma,Large Pharma,,
1801.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2018,,BBG00M8832B5,BBG00M883298,BBG00M8832C4,,"Innovent Biologics, Inc.",China,Hong Kong,CHN,HKD,https://www.innoventbio.com,Healthcare,Biotechnology,Biopharma,Biotech,,
196170.KQ,KOSDAQ,KOE,KOSDAQ,Primary,,2014,,BBG007H0XZW6,BBG007H0XZW6,BBG007H0Y007,,ALTEOGEN Inc.,South Korea,South Korea,KOR,KRW,https://www.alteogen.com,Healthcare,Biotechnology,Biopharma,Biotech,,
1SXP.DE,XETRA,GER,XETRA,Primary,,2023,,BBG01JFK5NQ2,BBG01JFK07F4,BBG01JFK07G3,,SCHOTT Pharma AG & Co. KGaA,Germany,Germany,DEU,EUR,https://www.schott-pharma.com,Healthcare,Medical Instruments & Supplies,MedTech,Packaging,,Y
2070.SR,Tadawul,SAU,Saudi,Primary,,2010,SA0007879188,,,,,Saudi Pharmaceutical Industries and Medical Appliances Corporation,Saudi Arabia,Saudi Arabia,SAU,SAR,https://www.spimaco.com.sa,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,,
207940,KRX,,,,,,,BBG0060N9DS7,BBG0060N9DS7,BBG0060N9DT6,,Samsung Biologics Co Ltd,South Korea,South Korea,KOR,KRW,,,,Biopharma,,,
2269.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2017,,BBG00GTY47H0,BBG00GTY47G1,BBG00GTY47J8,,WuXi Biologics (Cayman) Inc.,China,Hong Kong,CHN,HKD,https://www.wuxibiologics.com,Healthcare,Biotechnology,Biopharma,Biotech,,
2359.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2018,CNE1000031K4,BBG00MP10H94,BBG00MP10H85,BBG00MP10HC0,,WUXI Apptech,China,Hong Kong,CHN,HKD,https://www.wuxiapptec.com,Healthcare,Diagnostics & Research,Biopharma,,,
2715.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2026,EE0000000453,BBG020NTCTR2,BBG020NTCTP4,BBG020NTCV15,,Estun Automation Co Ltd,China,Hong Kong,CHN,HKD,https://www.estun.com,Technology,Communication Equipment,Tech,Industrial Robotics / Automation,,
