Ticker,Position Date,First Buy Date,Average Cost,Shares,Notes,Held,Held As Of,Previously Held,Held Until,Researching,Following for Interest,Ready to Buy,Ready to Short,Position
2715.HK,2026-05-03,,,,,N,,,,Y,,,,Researching
AAPL,2026-04-11,,67.5322,13.036,,Y,2026-09-22,,,,,,,Portfolio
ACVA,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
ADI,2026-04-11,,92.002,1.014,,Y,2026-09-22,,,,,,,Portfolio
ADSK,2026-04-11,,264.11,10.0,,Y,2026-09-22,,,,,,,Portfolio
AFRM,2026-04-11,,50.06,5.0,,Y,2026-09-22,,,,,,,Portfolio
AHR,2026-09-02,,,,,N,,,,,Y,,,Following for Interest
ALMR,2026-04-17,,,,,N,,,,Y,,,,Researching
AMZN,2026-04-11,,68.692,20.0,,Y,2026-09-22,,,,,,,Portfolio
ARE,2026-09-02,,,,,N,,,,,Y,,,Following for Interest
ARXS,2026-05-03,,,,,N,,,,Y,,,,Researching
ATEC,2026-09-26,,10.1089,99.9614,"auto-added by sync-held 2026-09-26: held at IBKR, no positions row existed",Y,2026-09-22,,,,,,,Portfolio
BE,2026-04-11,,145.2776,1.0,,Y,2026-09-22,,,,,,,Portfolio
BRO,2026-04-11,,67.6396,3.0,,Y,2026-09-22,,,,,,,Portfolio
BSX,2026-07-13,,56.11999999999999,20.0,,Y,2026-09-22,,,,,,,Portfolio
CAT,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
CENTA,2026-06-06,,,,,N,,,,,Y,,,Following for Interest
CHWY,2026-06-06,,,,,N,,,,,Y,,,Following for Interest
CI,2026-04-11,,271.829,40.532,,Y,2026-09-22,,,,,,,Portfolio
CIGI,2026-05-03,,,,,N,,,,Y,,,,Researching
CNI,2026-05-03,,,,,N,,,,Y,,,,Researching
COIN,2026-05-03,,,,,N,,,,Y,,,,Researching
CP,2026-05-03,,,,,N,,,,Y,,,,Researching
CPRT,2026-04-11,,33.1574,7.0,,Y,2026-09-22,,,,,,,Portfolio
CROX,2026-05-03,,,,,N,,,,Y,,,,Researching
CRWD,2026-04-11,,,,,N,,,,Y,,,,Researching
CSU,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
CVNA,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
DBX,2026-05-03,,,,,N,,,,Y,,,,Researching
DOC,2026-09-02,,,,,N,,,,,Y,,,Following for Interest
DOCS,2026-04-11,,25.749900000000004,40.0,,Y,2026-09-22,,,,,,,Portfolio
EHC,2026-04-11,,92.8407,96.94,,Y,2026-09-22,,,,,,,Portfolio
ENSG,2026-04-11,,166.4561,58.3771,,Y,2026-09-22,,,,,,,Portfolio
FDX,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
FER,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
FI,2026-04-11,,56.5948,4.0,,Y,2026-09-22,,,,,,,Portfolio
FICO,2026-05-03,,,,,N,,,,Y,,,,Researching
FIVE,2026-04-11,,102.212,13.0,,Y,2026-09-22,,,,,,,Portfolio
FMS,2026-04-11,,22.0918,452.656,,Y,2026-09-22,,,,,,,Portfolio
FRPT,2026-06-06,,,,,N,,,,,Y,,,Following for Interest
GRAL,2026-09-26,,111.499,8.9686,"auto-added by sync-held 2026-09-26: held at IBKR, no positions row existed",Y,2026-09-22,,,,,,,Portfolio
HOOD,2026-05-03,,,,,N,,,,Y,,,,Researching
IDXX,2026-04-11,,561.85,4.0,,Y,2026-09-22,,,,,,,Portfolio
ISRG,2026-07-24,,350.1277,3.0,,Y,2026-09-22,,,,,,,Portfolio
JAN,2026-09-02,,,,,N,,,,,Y,,,Following for Interest
JPM,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
KKR,2026-05-03,,,,,N,,,,Y,,,,Researching
KLRA,2026-04-17,,,,,N,,,,Y,,,,Researching
KRC,2026-04-11,,28.365,8.0,,Y,2026-09-22,,,,,,,Portfolio
LIN,2026-05-03,,,,,N,,,,Y,,,,Researching
LLY,2026-04-11,,1021.5,1.0,,Y,2026-09-22,,,,,,,Portfolio
LULU,2026-07-24,,,,Sold at Fidelity by 2026-07-24 (was Portfolio since 2026-04-11),N,,,,,Y,,,Following for Interest
MA,2026-05-03,,,,,N,,,,Y,,,,Researching
MAIR,2026-04-17,,,,,N,,,,Y,,,,Researching
MCO,2026-05-03,,,,,N,,,,Y,,,,Researching
MDA,2026-05-03,,,,,N,,,,Y,,,,Researching
MICC,2026-07-11,,,,,N,,,,Y,,,,Researching
MMED,2026-04-17,,,,,N,,,,Y,,,,Researching
MNKD,2026-07-15,,,,,N,,,,Y,,,,Researching
MSFT,2026-05-03,,,,,N,,,,Y,,,,Researching
MWH,2026-07-28,,,,Largest US utility-scale solar + storage EPC/O&M; $8.2B backlog. Added from the 06-26 coverage recommendation.,N,,,,Y,,,,Researching
NFLX,2026-05-03,,,,,N,,,,Y,,,,Researching
NTRA,2026-08-14,,,,,N,,,,Y,,,,Researching
NVDA,2026-05-03,,,,,N,,,,Y,,,,Researching
OPCH,2026-04-11,,27.945,350.0,,Y,2026-09-22,,,,,,,Portfolio
PACS,2026-04-11,,35.985,228.395,,Y,2026-09-22,,,,,,,Portfolio
PETS,2026-06-06,,,,,N,,,,,Y,,,Following for Interest
PNTG,2026-04-11,,,,,N,,,,Y,,,,Researching
Q,2026-04-11,,129.5413,2.0,,Y,2026-09-22,,,,,,,Portfolio
ROIV,2026-07-24,,,,Former-employer grant shares (E*Trade),N,,Y,2026-08-03,,Y,,,Following for Interest
RPD,2026-04-11,,,,,N,,Y,2026-08-14,,Y,,,Following for Interest
SGRY,2026-07-14,,15.2002,65.7884,Is that FCF Yield a good stock price anchor at 10% or is something weird happening there?,Y,2026-09-22,,,Y,,,,Portfolio
SPCX,2026-07-24,,135.0,100.0,SpaceX Class A (Fidelity),Y,2026-09-22,,,,,,,Portfolio
SPGI,2026-05-03,,,,,N,,,,Y,,,,Researching
SPOT,2026-04-11,,262.0,2.0,,Y,2026-09-22,,,,,,,Portfolio
TPL,2026-05-03,,,,,N,,,,Y,,,,Researching
TRUP,2026-06-06,,,,,N,,,,Y,,,,Researching
TSLA,2026-04-11,,155.28,1.0,,Y,2026-09-22,,,,,,,Portfolio
TSM,2026-07-13,,,,,N,,,,,Y,,,Following for Interest
U,2026-04-11,,,,,N,,Y,2026-08-14,,Y,,,Following for Interest
UBER,2026-07-11,,,,,N,,,,Y,,,,Researching
ULS,2026-04-11,,85.255,2.0,,Y,2026-09-22,,,,,,,Portfolio
UPS,2026-05-03,,,,,N,,,,Y,,,,Researching
V,2026-04-11,,136.143,1.006,,Y,2026-09-22,,,,,,,Portfolio
VEEV,2026-07-24,,197.64,6.0,,Y,2026-09-22,,,,,,,Portfolio
VLTO,2026-05-03,,,,,N,,,,Y,,,,Researching
VTR,2026-09-02,,87.0804,11.4836,,Y,2026-09-22,,,,Y,,,Portfolio
WAY,2026-04-11,,23.255,100.0,,Y,2026-09-22,,,,,,,Portfolio
WELL,2026-04-11,,230.9684,4.3295,,Y,2026-09-22,,,,Y,Y,,Portfolio
WMT,2026-05-03,,,,,N,,,,,Y,,,Following for Interest
WOOF,2026-06-06,,,,,N,,,,,Y,,,Following for Interest
WST,2026-04-11,,372.9808,2.6811,,Y,2026-09-22,,,,,Y,,Portfolio
XE,2026-05-03,,,,,N,,,,Y,,,,Researching
ZTS,2026-09-26,,72.7205,13.7512,"auto-added by sync-held 2026-09-26: held at IBKR, no positions row existed",Y,2026-09-22,,,,,,,Portfolio
