Ticker,Buy Price,Target Price,Date Added,Notes
AAPL,,,2026-04-11,
ADI,,,2026-04-11,
ADSK,,,2026-04-11,
AFRM,,,2026-04-11,
ALMR,,,2026-04-17,
AMZN,,,2026-04-11,
BE,,,2026-04-11,
BRO,,,2026-04-11,
CI,,,2026-04-11,
CPRT,,,2026-04-11,
CRWD,,,2026-04-11,
DOCS,,,2026-04-11,
EHC,,,2026-04-11,
ENSG,,,2026-04-11,
FI,,,2026-04-11,
FIVE,,,2026-04-11,
FMS,,,2026-04-11,
IDXX,,,2026-04-11,
KLRA,,,2026-04-17,
KRC,,,2026-04-11,
LLY,,,2026-04-11,
LULU,,,2026-04-11,
MAIR,,,2026-04-17,
MMED,,,2026-04-17,
OPCH,,,2026-04-11,
PACS,,,2026-04-11,
PNTG,,,2026-04-11,
Q,,,2026-04-11,
RPD,,,2026-04-11,
SPOT,,,2026-04-11,
TSLA,,,2026-04-11,
U,,,2026-04-11,
ULS,,,2026-04-11,
V,,,2026-04-11,
WAY,,,2026-04-11,
WELL,,,2026-04-11,
WST,,,2026-04-11,
