Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Instrument Type,IPO Date,Est Lockup 90d,Est Lockup 180d,LEI,Sub-subsector (JP),Core
000100.KS,KRX,KSC,KSE,Primary,,,KR7000100008,BBG000BDQQP5,BBG000BDQQP5,BBG001S6JYV4,,Yuhan Corporation,South Korea,South Korea,KOR,KRW,https://www.yuhan.co.kr,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,Ordinary Share,,,,,,
000661.SZ,SZSE,SHZ,Shenzhen,Primary,,,,,,,,"Changchun High-Tech Industry (Group) Co., Ltd.",China,China,CHN,CNY,https://ccht.jl.cn,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,Ordinary Share,,,,,,
000963.SZ,SZSE,SHZ,Shenzhen,Primary,,,CNE0000011S1,,,,,"Huadong Medicine Co., Ltd",China,China,CHN,CNY,https://www.eastchinapharm.com,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,Ordinary Share,,,,,,
002007.SZ,SZSE,SHZ,Shenzhen,Primary,,2004,,,,,,Hualan Biological Engineering Inc.,China,China,CHN,CNY,https://www.hualanbio.com,Healthcare,Biotechnology,Biopharma,Biotech,Ordinary Share,,,,,,
008930.KS,KRX,KSC,KSE,Primary,,2005,KR7008930000,BBG000BDVBT8,BBG000BDVBT8,BBG001S6K527,,"Hanmi Science Co., Ltd.",South Korea,South Korea,KOR,KRW,https://www.hanmiscience.co.kr,Healthcare,Medical Distribution,Biopharma,,Ordinary Share,,,,,,
019170.KS,KRX,KSC,KSE,Primary,,,,BBG000BG62G3,BBG000BG62G3,BBG001S71TG9,,"Shinpoong Pharmaceutical Co.,Ltd",South Korea,South Korea,KOR,KRW,https://shinpoong.co.kr,Healthcare,Drug Manufacturers - Specialty & Generic,Biopharma,Specialty & Generic Pharma,Ordinary Share,,,,,,
068270.KS,KRX,KSC,KSE,Primary,,2005,KR7068270008,BBG000F7P1Y0,BBG000F7P1Y0,BBG001SNFZR3,,"Celltrion, Inc.",South Korea,South Korea,KOR,KRW,https://www.celltrion.com,Healthcare,Biotechnology,Biopharma,Biotech,Ordinary Share,,,,988400JFZG785WJX3D68,,
1093.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2003,HK1093012172,BBG000C3N3B5,BBG000C3N1Z3,BBG001S7QWD8,,CSPC Pharmaceutical Group Limited,China,Hong Kong,CHN,HKD,https://www.cspc.com.hk,Healthcare,Drug Manufacturers - General,Biopharma,Large Pharma,Ordinary Share,,,,,,
1801.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2018,KYG4818G1010,BBG00M8832B5,BBG00M883298,BBG00M8832C4,,"Innovent Biologics, Inc.",China,Hong Kong,CHN,HKD,https://www.innoventbio.com,Healthcare,Biotechnology,Biopharma,Biotech,Ordinary Share,,,,25490058ONL9SCIE1R22,,
196170.KQ,KOSDAQ,KOE,KOSDAQ,Primary,,2014,KR7196170005,BBG007H0XZW6,BBG007H0XZW6,BBG007H0Y007,,ALTEOGEN Inc.,South Korea,South Korea,KOR,KRW,https://www.alteogen.com,Healthcare,Biotechnology,Biopharma,Biotech,Ordinary Share,,,,,,
