Ticker,Exchange,Exchange Code,Exchange Full Name,Listing Type,Other Listings,Year Listed,IPO Date,Est Lockup 90d,Est Lockup 180d,ISIN,FIGI,Composite FIGI,Share Class FIGI,CIK,LEI,Company Name,Country (HQ),Country (Listing),Country (ISO),Currency,Website,YF Sector,YF Industry,Sector (JP),Subsector (JP),Sub-subsector (JP),Core,Buy Price,Target Price,Date Added,Notes
2715.HK,HKEX,HKG,HKSE,ADR/Cross-listed,Primary listing likely in China,2026,,,,EE0000000453,BBG020NTCTR2,BBG020NTCTP4,BBG020NTCV15,,,Estun Automation Co Ltd,China,Hong Kong,CHN,HKD,https://www.estun.com,Technology,Communication Equipment,Tech,Industrial Robotics / Automation,,,,,2026-05-03,
AAPL,NASDAQ,NMS,NasdaqGS,Primary,,,,,,US0378331005,BBG000B9XRY4,BBG000B9XRY4,BBG001S5N8V8,320193,HWUPKR0MPOU8FGXBT394,Apple Inc.,United States,United States,USA,USD,https://www.apple.com,Technology,Consumer Electronics,Tech,,,Y,,,2026-04-11,
ADI,NASDAQ,NMS,NasdaqGS,Primary,,,,,,US0326541051,BBG000BB6G37,BBG000BB6G37,BBG001S5ND38,6281,GYVOE5EZ4GDAVTU4CQ61,Analog Devices Inc,United States,United States,USA,USD,https://www.analog.com,Technology,Semiconductors,Tech,,,Y,,,2026-04-11,
ADSK,NASDAQ,NMS,NasdaqGS,Primary,,,,,,US0527691069,BBG000BM7HL0,BBG000BM7HL0,BBG001S5SCD4,769397,FRKKVKAIQEF3FCSTPG55,Autodesk Inc,United States,United States,USA,USD,https://www.autodesk.com,Technology,Software - Application,Tech,,,,,,2026-04-11,
AFRM,NASDAQ,NMS,NasdaqGS,Primary,,2021,,,,US00827B1061,BBG00Y7BP8Y1,BBG00Y7BP8Y1,BBG00Y7BP8Z0,1820953,,Affirm Holdings Inc,United States,United States,USA,USD,https://www.affirm.com,Financial Services,Credit Services,Financials,,,Y,,,2026-04-11,
ALMR,NASDAQ,NGM,NasdaqGM,Primary,,2026,2026-04-16,2026-07-15,2026-10-13,,BBG012FD22W7,BBG012FD22W7,BBG012FD22X6,2104204,,"Alamar Biosciences, Inc.",United States,United States,USA,USD,www.alamarbio.com,Healthcare,Medical Devices,MedTech,Life Science Tools,,,,,2026-04-17,
AMZN,NASDAQ,NMS,NasdaqGS,Primary,,,,,,,BBG000BVPV84,BBG000BVPV84,BBG001S5PQL7,1018724,,"Amazon.com, Inc.",United States,United States,USA,USD,https://www.amazon.com,Consumer Cyclical,Internet Retail,Tech,,,Y,,,2026-04-11,
ARXS,NASDAQ,,,Primary,,2026,2026-04-15,2026-07-14,2026-10-12,US04339D1054,,,,2093536,,"Arxis, Inc.",United States,United States,USA,USD,https://www.arxis.com,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense Components,,,,,2026-05-03,
BE,NYSE,NYQ,NYSE,Primary,,2018,,,,US0937121079,BBG00L4SB0Y7,BBG000N7KBZ3,BBG001T53509,1664703,549300XB5J9BFW5JXV97,Bloom Energy Corporation,United States,United States,USA,USD,https://www.bloomenergy.com,Industrials,Electrical Equipment & Parts,Energy,,,,,,2026-04-11,
BRO,NYSE,NYQ,NYSE,Primary,,1981,,,,US1152361010,BBG000BWSGF4,BBG000BWSGF4,BBG001S5XFN0,79282,549300PC8KTJ71XKFY89,Brown & Brown Inc.,United States,United States,USA,USD,https://www.bbrown.com,Financial Services,Insurance - Brokers,Financials,,,,,,2026-04-11,
BSX,NYSE,NYQ,NYSE,Primary,,,,,,,BBG000C0LW92,BBG000C0LW92,BBG001S63L94,885725,,Boston Scientific Corp,United States,United States,USA,USD,https://www.bostonscientific.com,Healthcare,Medical Devices,MedTech,Cardiovascular,,Y,,,2026-07-13,
CI,NYSE,NYQ,NYSE,Primary,,,,,,US1255231003,BBG00KXRCDP0,BBG00KXRCDP0,BBG00KXRCDQ9,1739940,549300VIWYMSIGT1U456,Cigna Group,United States,United States,USA,USD,https://www.thecignagroup.com,Healthcare,Healthcare Plans,Healthcare Services,Mgd Care,,Y,,,2026-04-11,
CIGI,NASDAQ,NMS,NasdaqGS,ADR/Cross-listed,Primary listing likely in Canada,,,,,CA1946931070,BBG000BN6P22,BBG000BN6P22,BBG001S79G88,913353,,Colliers International Group Inc,Canada,United States,CAN,USD,https://www.colliers.com,Real Estate,Real Estate Services,Real Estate,,,Y,,,2026-05-03,
CNI,NYSE,NYQ,NYSE,ADR/Cross-listed,Primary listing likely in Canada,,,,,,BBG000HS74G6,BBG000HS74G6,BBG001S8WVQ7,16868,,Canadian National Railway Co,Canada,United States,CAN,USD,https://www.cn.ca,Industrials,Railroads,Industrials,,,Y,,,2026-05-03,
